HTTP Code,vend_code,Response Code,Category,message,Description,AccuvendMasterResponseCode,Accuvend Description,Request,vendor
200,,200,Successful,,This signifies that the request has been fulfilled,1,successful response,Validate Meter,buypower
200,,200,Successful,,This signifies that the request has been fulfilled,1,successful response,Requery,buypower
200,,200,Successful,,This signifies that the request has been fulfilled,1,successful response,Vend token,buypower
202,,202,Accepted,,"This is returned when we have received your request but there isn't a response yet.You are expected to make a re-query when this occurs. Please allow at least 2 minutes before making a re-query.",-1,Requires a requery,Vend token,buypower
202,,202,Accepted,,"This is returned when we have received your request but there isn't a response yet. You are expected to make a re-query when this occurs. Please allow at least 2 minutes before making a re-query.",-1,Requires a requery,Requery,buypower
400,,400,Validation Error,,"Inputs passed during request may not be as specified. You are expected to re-validate inputs before trying again.",-1,require a requery,Vend token,buypower
400,,400,Validation Error,,"Inputs passed during request may not be as specified.You are expected to re-validate inputs before trying again.",-1,Requires a requery,Requery,buypower
400,,201,Validation Error,Transaction is still processing. Kindly retry in 2 minute,,-1,Requires a requery,Requery,buypower
400,,203,Validation Error,Transaction not initiated.,,0,No transaction,Requery,buypower
400,,202,Validation Error,Transaction not successful. Please retry.,,-1,Requires a requery,Requery,buypower
400,,202,Validation Error,Transaction failed.,,0,No transaction,Requery,buypower
422,,422,Unprocessable,,"The request is valid but for some other reasons the request can not be fulfilled. Example may include insufficient wallet balance.",-1,Requires requery,Vend token,buypower
422,,422,Unprocessable,,"The request is valid but for some other reasons the request can not be fulfilled. Example may include insufficient wallet balance.",-1,Requires a requery,Requery,buypower
409,,409,Conflict,,The request may not have been sent properly. An example is when a request has ben sent more than once.,-1,require a requery,Vend token,buypower
409,,409,Conflict,,The request may not have been sent properly. An example is when a request has ben sent more than once.,-1,require a requery,Requery,buypower
500,,500,Server Error,,This is a generic error which means the server can not process the request at the time it was made.,-1,require a requery,Vend token,buypower
500,,500,Server Error,,This is a generic error which means the server can not process the request at the time it was made.,-1,require a requery,Requery,buypower
501,,501,Not Implemented,,"This error signifies that the request can not be fulfilled.An example may include a Service Provider rejecting a request to purchase a token because the meter has not been activated on their system.",-1,require a requery,Requery,buypower
501,,501,Not Implemented,,"This error signifies that the request can not be fulfilled.An example may include a Service Provider rejecting a request to purchase a token because the meter has not been activated on their system.",-1,require a requery,Vend token,buypower
502,,502,Unexpected Error,,"This error reflects when we receive an unexpected response from the provider. This should be treated as a pending transaction and should be requeried to resolve the transaction [which could end up as failure or success].",-1,require a requery,Requery,buypower
502,,502,Unexpected Error,,"This error reflects when we receive an unexpected response from the provider. This should be treated as a pending transaction and should be requeried to resolve the transaction [which could end up as failure or success].",-1,require a requery,Vend token,buypower
500,,503,Service Not Available,,This is a temporary error that may occur when we cannot fulfil the request. This usually does not last as long as it may clear within a few minutes,-1,require a requery,Requery,buypower
500,,503,Service Not Available,,This is a temporary error that may occur when we cannot fulfil the request. This usually does not last as long as it may clear within a few minutes,-1,require a requery,vend token,buypower
,,,,,,,,,buypower
,,,,,,,,,buypower
,,,,,,,,,buypower
404,,20,Not found Error,No transaction found with reference:,This transaction is not available,0,No transaction,Requery,buypower
,,,,,,,,,
200,,200,Successful,,,1,successful response,Requery,Baxi
200,,200,Successful,,,1,successful response,Vend token,Baxi
201,,201,Pending,,,-1,"Requires a requery  pending transaction",Requery,Baxi
201,,201,Pending,,,-1,"Requires a requery  pending transaction",Vend token,Baxi
400,,400,Bad Request data,,,,failure Bad request data,Requery,Baxi
400,,400,Bad Request data,,,-1,"Requires a requery  request data",Vend token,Baxi
503,,503,requires a requery from the service provider,,,-1,Requires a requery service provider error,Requery,Baxi
