id,validity,bundlename,bundle,bundleCode,bundleAmount,vendorName,productCode
"5e51b9ef-38c6-4291-9a9a-6b603ebe8eff, 8a022a21-cb2b-442a-9ed1-9c85ae55598d", Xtradata 20000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-97 for Xtradata 20000 Monthly Bundle""",MTN 20000  Xtradata 20000 Monthly Bundle ,MTN001,20000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"c7a914af-3894-4b1c-8ddf-a1c37cc98d22, 5993bb8c-ecb3-4e50-85b2-335acacc5926", Xtradata 15000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-96 for Xtradata 15000 Monthly Bundle""",MTN 15000  Xtradata 15000 Monthly Bundle ,MTN002,15000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"e951eaa8-4892-47bf-8d33-a9b30116b839, 1adc23c4-f257-46ea-a8b8-7ff6bb8242ab", Xtradata 10000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-95 for Xtradata 10000 Monthly Bundle""",MTN 10000  Xtradata 10000 Monthly Bundle ,MTN003,10000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"cf7558bc-68b5-468e-b8f1-f9195a2b9f9e, 79c0a9a8-0e73-4682-b549-e22a4e687360", Xtradata 5000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-94 for Xtradata 5000 Monthly Bundle""",MTN 5000  Xtradata 5000 Monthly Bundle ,MTN004,5000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"8dd56393-1b1a-4152-bd64-e850ad424dd1, 278eb08e-b830-4b32-ab92-391280c0e44c", Xtradata 2000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-93 for Xtradata 2000 Monthly Bundle""",MTN 2000  Xtradata 2000 Monthly Bundle ,MTN005,2000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"d8394f78-6aea-4698-9dde-a8f33d8f1f59, 27aa9947-447f-4b1f-8f72-7a86b2020fe0", Xtradata 1000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-92 for Xtradata 1000 Monthly Bundle""",MTN 1000  Xtradata 1000 Monthly Bundle ,MTN006,1000,"IRECHARGE, BUYPOWERNG",TCMTNVD
2f843b8f-0ef4-4a29-9dc6-9c405e8f3d4d, Xtradata 500 Weekly Bundle ,"""MTN D-MFIN-5-Combo-91 for Xtradata 500 Weekly Bundle""",MTN 500  Xtradata 500 Weekly Bundle ,MTN007,500,IRECHARGE,TCMTNVD
"7402f313-9979-4ef8-ab4b-18140655c7e5, 3fec9a3f-3280-415f-b70a-bbaa1ba5e326", Xtratalk 20000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-89 for Xtratalk 20000 Monthly Bundle""",MTN 20000  Xtratalk 20000 Monthly Bundle ,MTN008,20000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"9829ee07-1b92-4c68-91a3-1a9d6b0dab3f, 1c797263-991a-49d3-977a-f81cc47d7e8c", Xtratalk 15000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-88 for Xtratalk 15000 Monthly Bundle""",MTN 15000  Xtratalk 15000 Monthly Bundle ,MTN009,15000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"96e7de76-050e-4440-98e1-4a70d20e91bd,  4b8716be-39b9-4719-b124-c1352731ae17", Xtratalk 10000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-87 for Xtratalk 10000 Monthly Bundle""",MTN 10000  Xtratalk 10000 Monthly Bundle ,MTN010,10000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"f3a7aea7-3ad3-4a9e-8524-5a5ed214347e, 41b59b04-4886-4920-a6d8-0a02c010051c", Xtratalk 5000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-86 for Xtratalk 5000 Monthly Bundle""",MTN 5000  Xtratalk 5000 Monthly Bundle ,MTN011,5000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"af9cb238-4f02-42ff-948d-2015822e6241, 3fe5813c-32a6-4352-8350-c9da6436ead3", Xtratalk 2000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-85 for Xtratalk 2000 Monthly Bundle""",MTN 2000  Xtratalk 2000 Monthly Bundle ,MTN012,2000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"ca5f92f1-ceab-42d0-b04f-45c3fb34a18f, 4b08a3b9-0bd2-4233-9011-87f20bb10b84", Xtratalk 1000 Monthly Bundle ,"""MTN D-MFIN-5-Combo-84 for Xtratalk 1000 Monthly Bundle""",MTN 1000  Xtratalk 1000 Monthly Bundle ,MTN013,1000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"053da8fe-606a-4663-91fc-261b244b104e, 05e03d7c-30e3-431a-bfb1-597d85970073, 1f94be81-d49d-444f-a5d0-49166ec41d2f", Xtratalk 500 Weekly Bundle ,"""MTN D-MFIN-5-Combo-83 for Xtratalk 500 Weekly Bundle""",MTN 500  Xtratalk 500 Weekly Bundle ,MTN014,500,"IRECHARGE, BUYPOWERNG",TCMTNVD
"a3df5450-3196-4f18-859a-a2c11391b247, 33e92ea3-9332-4d55-b5b8-57db0a318297", Xtratalk 300 Weekly Bundle\r\nXtratalk 300 Weekly Bundle ,"""MTN D-MFIN-5-Combo-73 for Xtratalk 300 Weekly Bundle\r\nXtratalk 300 Weekly Bundle""",MTN 300  Xtratalk 300 Weekly Bundle\r\nXtratalk 300 Weekly Bundle ,MTN015,300,"IRECHARGE, BUYPOWERNG",TCMTNVD
"0f6af431-cfeb-4309-8ae9-64c2884ef21e, 16e14577-f646-4cca-b0e5-1e07e6a2e5d6", Xtradata 300 Weekly Bundle ,"""MTN D-MFIN-5-Combo-1588 for Xtradata 300 Weekly Bundle""",MTN 300  Xtradata 300 Weekly Bundle ,MTN016,300,"IRECHARGE, BUYPOWERNG",TCMTNVD
"8c3844bc-78e2-465d-8385-f909a043c2e2, 5909911d-76e0-4d12-b21d-ab12b82488a7, 1cd09479-8175-41cb-9256-1cbd8c9eaf3f", Xtratalk 200 3days Bundle\r\nXtratalk 200 3days Bundle ,"""MTN D-MFIN-5-Combo-1587 for Xtratalk 200 3days Bundle\r\nXtratalk 200 3days Bundle""",MTN 200  Xtratalk 200 3days Bundle\r\nXtratalk 200 3days Bundle ,MTN017,200,"IRECHARGE, BAXI, BUYPOWERNG",TCMTNVD
fe6575ea-2abd-4505-85d1-139a8de6d805, 7GB Weekly Bundle ,"""MTN D-MFIN-5-7GB-A for 7GB Weekly Bundle""",MTN 2000  7GB Weekly Bundle ,MTN018,2000,IRECHARGE,TCMTNVD
5024c33d-a39f-43bb-9baf-580efdda9c11, 1TB SME 3-Months Plan ,"""MTN D-MFIN-5-774 for 1TB SME 3-Months Plan""",MTN 350000  1TB SME 3-Months Plan ,MTN019,350000,IRECHARGE,TCMTNVD
"c169f751-42c2-40ad-b7bc-959d9b5f28b8, 1367e201-34a6-47c1-803c-bd3c7aafaa27", 165GB SME 2-Months Plan ,"""MTN D-MFIN-5-773 for 165GB SME 2-Months Plan""",MTN 50000  165GB SME 2-Months Plan ,MTN020,50000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"f16809ab-bf7a-4f9b-ac67-30662f31016b, 3579ea8a-14fe-4225-b683-32991a142c3d, 3559e94d-7bfe-4928-b7e2-b1221d9ddb46", 400GB Yearly Plan ,"""MTN D-MFIN-5-755 for 400GB Yearly Plan""",MTN 120000  400GB Yearly Plan ,MTN021,120000,"IRECHARGE, BAXI, BUYPOWERNG",TCMTNVD
1fc2a586-1530-4097-bcc5-5a456ecb97ae, 120GB Monthly Plan + 80mins. ,"""MTN D-MFIN-5-746 for 120GB Monthly Plan + 80mins.""",MTN 22000  120GB Monthly Plan + 80mins. ,MTN022,22000,IRECHARGE,TCMTNVD
3d0af6e9-8104-489b-8a34-4d35edaa619a, 10GB+2GB YouTube Night+300MB YouTube Music + 20mins. ,"""MTN D-MFIN-5-745 for 10GB+2GB YouTube Night+300MB YouTube Music + 20mins.""",MTN 3500  10GB+2GB YouTube Night+300MB YouTube Music + 20mins. ,MTN023,3500,IRECHARGE,TCMTNVD
1f09d306-8a10-4f86-bc1d-41f349bc0d64, 8GB+2GB YouTube Night+200MB YouTube Music + 15mins. ,"""MTN D-MFIN-5-744 for 8GB+2GB YouTube Night+200MB YouTube Music + 15mins.""",MTN 3000  8GB+2GB YouTube Night+200MB YouTube Music + 15mins. ,MTN024,3000,IRECHARGE,TCMTNVD
c000b99d-3a38-4f5b-9945-4f3b8dd7c4f4, 5GB Weekly Plan ,"""MTN D-MFIN-5-743 for 5GB Weekly Plan""",MTN 1500  5GB Weekly Plan ,MTN025,1500,IRECHARGE,TCMTNVD
"75b33749-6cd6-4057-9057-ef2c4dcee41f, 2804e6ce-b044-4781-8892-86401c1faabc", 1GB Weekly Plan + FREE 1GB for YouTube and 100MB for YouTube Music + 5mins. ,"""MTN D-MFIN-5-742 for 1GB Weekly Plan + FREE 1GB for YouTube and 100MB for YouTube Music + 5mins.""",MTN 600  1GB Weekly Plan + FREE 1GB for YouTube and 100MB for YouTube Music + 5mins. ,MTN026,600,"IRECHARGE, BUYPOWERNG",TCMTNVD
"f95ecdfb-9b60-42f9-9ac1-59bd7bcdbb37, 3ee6c852-e14d-4848-bad2-9f4ab47ff55a", 2.5GB 2-Day Plan ,"""MTN D-MFIN-5-600 for 2.5GB 2-Day Plan""",MTN 600  2.5GB 2-Day Plan ,MTN027,600,"IRECHARGE, BUYPOWERNG",TCMTNVD
"121d5fc3-0b6a-42a8-bf67-38666cf23b7f, 39e8b9b5-c0fc-499d-81e3-e463baae025f", 25GB SME Monthly Plan ,"""MTN D-MFIN-5-422 for 25GB SME Monthly Plan""",MTN 10000  25GB SME Monthly Plan ,MTN028,10000,"IRECHARGE, BUYPOWERNG",TCMTNVD
4a3b2222-f0e2-49ba-8aa3-7756dd116342, 3GB 2-Days Bundle ,"""MTN D-MFIN-5-3GB-A for 3GB 2-Days Bundle""",MTN 800  3GB 2-Days Bundle ,MTN029,800,IRECHARGE,TCMTNVD
"4bd2354b-14b3-4b75-87de-ca993e78f7b6, 3b513c0d-5546-4c9f-9b4f-3e293443a21b", 360GB SME 3-Months Plan ,"""MTN D-MFIN-5-360GB for 360GB SME 3-Months Plan""",MTN 100000  360GB SME 3-Months Plan ,MTN030,100000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"487cad5a-5b27-4254-a105-a456f4329cd5, 4b56b37d-65cf-4aea-9c06-f3ca520d2bf0, 09345c44-43dd-48c7-a9b3-347aba99fd6a", DataPlan 100MB Daily ,"""MTN D-MFIN-5-307 for DataPlan 100MB Daily""",MTN 100  DataPlan 100MB Daily ,MTN031,100,"IRECHARGE, BAXI, BUYPOWERNG",TCMTNVD
"caaec1d9-d97c-4959-a3f7-1b939c9157de, 1e16fbf6-0cb7-48cb-ab7e-64d61d333bdc", 75GB Monthly Plan + 40mins. ,"""MTN D-MFIN-5-278 for 75GB Monthly Plan + 40mins.""",MTN 16000  75GB Monthly Plan + 40mins. ,MTN032,16000,"IRECHARGE, BAXI",TCMTNVD
9a15fe45-efa5-4d24-b36d-77512dab4a33, 1GB Daily Plan + 3mins. ,"""MTN D-MFIN-5-276 for 1GB Daily Plan + 3mins.""",MTN 350  1GB Daily Plan + 3mins. ,MTN033,350,IRECHARGE,TCMTNVD
